Exp.,Desc.,Dataset,Sampling,Model,Accuracy,Precision,Recall,F1_score
Experiment 9,Training with mixed classes on imbalanced data - How do models perform under class imbalance,Statlog German Credit Dataset,L60,SVM,0.85,0.679,0.475,0.559
Experiment 9,Training with mixed classes on imbalanced data - How do models perform under class imbalance,Statlog German Credit Dataset,L60,KNN,0.84,0.625,0.5,0.556
Experiment 9,Training with mixed classes on imbalanced data - How do models perform under class imbalance,Statlog German Credit Dataset,L60,XGB,0.86,0.714,0.5,0.588
Experiment 9,Training with mixed classes on imbalanced data - How do models perform under class imbalance,Statlog German Credit Dataset,L60,LOGISTIC,0.85,0.692,0.45,0.545
Experiment 9,Training with mixed classes on imbalanced data - How do models perform under class imbalance,Statlog German Credit Dataset,L60,RANDOM_FOREST,0.845,0.68,0.425,0.523
Experiment 9,Training with mixed classes on imbalanced data - How do models perform under class imbalance,Default of Credit Card Client Dataset,L5,SVM,1.0,1.0,1.0,1.0
Experiment 9,Training with mixed classes on imbalanced data - How do models perform under class imbalance,Default of Credit Card Client Dataset,L5,KNN,0.99,1.0,0.95,0.974
Experiment 9,Training with mixed classes on imbalanced data - How do models perform under class imbalance,Default of Credit Card Client Dataset,L5,XGB,1.0,1.0,1.0,1.0
Experiment 9,Training with mixed classes on imbalanced data - How do models perform under class imbalance,Default of Credit Card Client Dataset,L5,LOGISTIC,0.995,1.0,0.975,0.987
Experiment 9,Training with mixed classes on imbalanced data - How do models perform under class imbalance,Default of Credit Card Client Dataset,L5,RANDOM_FOREST,1.0,1.0,1.0,1.0
Experiment 9,Training with mixed classes on imbalanced data - How do models perform under class imbalance,Default of Credit Card Client Dataset,L15,SVM,1.0,1.0,1.0,1.0
Experiment 9,Training with mixed classes on imbalanced data - How do models perform under class imbalance,Default of Credit Card Client Dataset,L15,KNN,1.0,1.0,1.0,1.0
Experiment 9,Training with mixed classes on imbalanced data - How do models perform under class imbalance,Default of Credit Card Client Dataset,L15,XGB,1.0,1.0,1.0,1.0
Experiment 9,Training with mixed classes on imbalanced data - How do models perform under class imbalance,Default of Credit Card Client Dataset,L15,LOGISTIC,1.0,1.0,1.0,1.0
Experiment 9,Training with mixed classes on imbalanced data - How do models perform under class imbalance,Default of Credit Card Client Dataset,L15,RANDOM_FOREST,1.0,1.0,1.0,1.0
Experiment 10,Linear regression for binary prediction to understand if a straight line can easily seperate classes,Statlog German Credit Dataset,L30,LINEAR_REGRESSION,0.715,0.687,0.79,0.735
Experiment 10,Linear regression for binary prediction to understand if a straight line can easily seperate classes,Statlog German Credit Dataset,L60,LINEAR_REGRESSION,0.775,0.731,0.87,0.795
Experiment 10,Linear regression for binary prediction to understand if a straight line can easily seperate classes,Default of Credit Card Client Dataset,L5,LINEAR_REGRESSION,0.985,0.971,1.0,0.985
Experiment 10,Linear regression for binary prediction to understand if a straight line can easily seperate classes,Default of Credit Card Client Dataset,L15,LINEAR_REGRESSION,1.0,1.0,1.0,1.0
