model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,runtime_seconds,dataset,protocol,landmark_percent,snapshot_variant,train_snapshots_per_class,test_snapshots_per_class,feature_space
xgb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1543805599212646,taiwan_bankruptcy,clean,20.0,revised,6,6,barcode
logistic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0307214260101318,south_german_credit,historical,10.0,revised,10,10,barcode
random_forest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.559960126876831,south_german_credit,historical,10.0,revised,10,10,barcode
svm,1.0,1.0,1.0,1.0,1.0,0.0,0.4166666666666666,0.0122082233428955,south_german_credit,historical,10.0,revised,10,10,barcode
knn,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0573534965515136,south_german_credit,historical,10.0,revised,10,10,barcode
xgb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1390628814697265,south_german_credit,historical,10.0,revised,10,10,barcode
logistic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0334231853485107,south_german_credit,historical,20.0,revised,5,5,barcode
random_forest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5643949508666992,south_german_credit,historical,20.0,revised,5,5,barcode
svm,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0117359161376953,south_german_credit,historical,20.0,revised,5,5,barcode
knn,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.0628490447998046,south_german_credit,historical,20.0,revised,5,5,barcode
xgb,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.1417920589447021,south_german_credit,historical,20.0,revised,5,5,barcode
logistic,0.2,0.2,0.2857142857142857,0.4,0.3333333333333333,0.4,0.6538226694186446,0.0227985382080078,south_german_credit,clean,10.0,revised,10,10,barcode
random_forest,0.5,0.5,0.5,1.0,0.6666666666666666,0.595,0.7368055555555555,0.5955657958984375,south_german_credit,clean,10.0,revised,10,10,barcode
svm,0.5,0.5,0.5,1.0,0.6666666666666666,0.4,0.6538226694186446,0.0151267051696777,south_german_credit,clean,10.0,revised,10,10,barcode
knn,0.5,0.5,0.5,1.0,0.6666666666666666,0.2,0.3681083837043589,0.0750901699066162,south_german_credit,clean,10.0,revised,10,10,barcode
xgb,0.5,0.5,0.5,1.0,0.6666666666666666,0.44,0.6357894736842106,0.2553014755249023,south_german_credit,clean,10.0,revised,10,10,barcode
logistic,0.5,0.5,0.5,1.0,0.6666666666666666,1.0,1.0,0.0334687232971191,south_german_credit,clean,20.0,revised,5,5,barcode
random_forest,0.5,0.5,0.5,1.0,0.6666666666666666,0.7000000000000001,0.7116666666666667,0.6231062412261963,south_german_credit,clean,20.0,revised,5,5,barcode
svm,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.3543650793650793,0.0132756233215332,south_german_credit,clean,20.0,revised,5,5,barcode
knn,0.5,0.5,0.5,1.0,0.6666666666666666,0.64,0.7392857142857143,0.0612893104553222,south_german_credit,clean,20.0,revised,5,5,barcode
xgb,0.5,0.5,0.5,1.0,0.6666666666666666,0.7,0.7,0.1477618217468261,south_german_credit,clean,20.0,revised,5,5,barcode
logistic,0.995,0.995,1.0,0.99,0.9949748743718592,1.0,1.0,0.0251197814941406,pkdd_czech,historical,10.0,historical500,400,100,barcode
random_forest,0.995,0.995,1.0,0.99,0.9949748743718592,1.0,1.0,0.6770274639129639,pkdd_czech,historical,10.0,historical500,400,100,barcode
svm,0.98,0.98,1.0,0.96,0.979591836734694,1.0,1.0,0.0285894870758056,pkdd_czech,historical,10.0,historical500,400,100,barcode
knn,0.995,0.995,1.0,0.99,0.9949748743718592,1.0,1.0,0.2129874229431152,pkdd_czech,historical,10.0,historical500,400,100,barcode
xgb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4580960273742676,pkdd_czech,historical,10.0,historical500,400,100,barcode
logistic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0203998088836669,pkdd_czech,historical,20.0,historical500,400,100,barcode
random_forest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6530101299285889,pkdd_czech,historical,20.0,historical500,400,100,barcode
